발행인,시도,시구,동읍,상세주소,사업용도,사업용도세부종목,브릿지론/본PF,신용보강기관명,신용보강기관종류,신용보강형태,매입보장/확약,대출약정규모,분양률,문장
에코송정,경기도,이천시,송정동,142번지,공동주택,리테일.공동주택,0,한화투자증권,증권사,채권매입/자금보충,매입확약,-,-,  한화투자증권(주)의 대출채권 매입확약 및 자금보충 의무  
에프엔송도5제일차,인천광역시,연수구,송도동,B3,공동주택,아파트.도시개발.오피스.오피스텔.리테일,0,삼성증권,증권사,채권매입/인수/자금보충,매입확약,5530,-,  삼성증권(주)의 대출채권 매입확약 사모사채 인수확약 자금보충  
에프엔한강제이차,서울특별시,광진구,광장동,188-2번지,공동주택,호텔.공동주택,0,삼성증권,증권사,채권매입/인수/자금보충,매입확약,2950,-, 삼성증권㈜의 대출채권 매입 자금보충 및 사모사채 인수 의
와이케이이천제일차,경기도,이천시,대월면,군량리,산업시설,물류,0,유안타증권,증권사,인수,매입확약,700,-,  유안타증권(주)의 사모사채 인수확약  
원주오토제일차,강원도,원주시,반곡동,1507-1번지,공동주택,리테일.공동주택,0,현대차증권,증권사,인수,매입확약,900,44.3,현대차증권㈜의 사모사채 인수확
주파수초읍제일차,부산광역시,부산진구,초읍동,529-14번지,공동주택,공동주택,0,에스케이증권,증권사,인수,매입확약,310,-, 에스케이증권㈜의 사모사채 인수 의
케이비흑석제일차,서울특별시,동작구,흑석동,90번지,공동주택,리테일.아파트.공동주택,0,현대건설.케이비증권,시공사.증권사,연대보증.매입,매입확약,-,-, 현대건설(주)의 연대보증 . 케이비증권(주)의 유동화증권 매입보장
케이아이에스대체제이십오차,강원도,강릉시,회산동,151번지,공동주택,리테일.공동주택,0,한국투자증권,증권사,인수/자금보충,매입확약,-,-,  한국투자증권(주)의 사모사채 인수 및 자금보충 의무  
케이아이에스대체제일차,광주광역시,북구,운암동,65-2번지,공동주택,주상복합.리테일.공동주택,0,한국투자증권,증권사,인수,매입확약,-,-, 한국투자증권㈜의 사모사채 인수 의무
하이패스파인더제칠차,경기도,시흥시,정왕동,2731-4,상업업무,오피스.리테일,0,하이투자증권,증권사,채권매입/인수/자금보충,매입확약,1210,-, 하이투자증권㈜의 대출채권 매입 자금보충 사모사채 인수 의무 하
핫스프링제일차,부산광역시,동래구,온천동,142번지,공동주택,리테일.공동주택,0,하이투자증권,증권사,채권매입/인수/자금보충,매입확약,-,-, 하이투자증권㈜의 대출채권 매입 자금보충 및 사모사채 인수 의무 핫
힐스테이트베스트제일차,0,0,0,0,상업업무,호텔,0,현대건설.이베스트투자증권,시공사.증권사,연대보증.매입,매입확약,-,-, 현대건설(주)의 연대보증 . 이베스트투자증권(주)의 유동화증권 매입보
힐스테이트베스트제일차,0,0,0,0,상업업무,호텔,0,현대건설.이베스트투자증권,시공사.증권사,연대보증.매입,매입확약,-,-, 현대건설(주)의 연대보증 . 이베스트투자증권(주)의 유동화증권 매입보
마이트제주구억리제일차,제주특별자치도,서귀포시,대정읍,구억리,공동주택,공동주택,0,대신증권,증권사,채권매입/인수,매입확약,485,-, 대신증권㈜의 대출채권 매입 및 사모사채 인수 의무 마
비엔케이농성,광주광역시,서구,농성동,260-7번지,공동주택,주상복합.리테일.공동주택,0,BNK투자증권,증권사,인수,매입확약,-,-, ㈜BNK투자증권의 사모사채 인수 의
인트그린제이차,광주광역시,남구,진월동,228-2외,상업업무,리테일,0,교보증권,증권사,채권매입,매입확약,400,-, 교보증권㈜의 대출채권 매입확약 등 인
케이티비비전제이차,서울특별시,중랑구,상봉동,89번지,오피스텔,리테일.오피스텔.오피스,0,다올투자증권,증권사,채권매입/인수,매입확약,520,-, 다올투자증권㈜의 대출채권 매입 및 사모사채 인수 의
콘수스화도,경기도,남양주시,화도읍,금남리,산업시설,물류,0,BNK투자증권,증권사,인수,매입확약,-,-, ㈜BNK투자증권의 사모사채 인수 의
하이패스파인더제십팔차,대구광역시,수성구,파동,118-118번지,공동주택,리테일.공동주택,0,하이투자증권,증권사,채권매입/인수/자금보충,매입확약,2200,-, 하이투자증권㈜의 대출채권 매입확약 자금보충 및 사모사채 인수확약 하
학산캐슬제이차,울산광역시,중구,학산동,167-4번지,공동주택,오피스.오피스텔.리테일.공동주택,0,롯데건설,시공사,채무인수/자금보충,매입확약,1400,-,  롯데건설(주)의 SPC에 대한 자금보충 및 미이행시 채무인수 의무  
기은센엔에스,강원도,양양군,강현면,전진리,특수용도,리테일.생활형숙박시설,0,아이비케이투자증권,증권사,채권매입/인수,매입확약,740,-,  아이비케이투자증권(주)의 대출채권 매입 및 사모사채 인수의무  
기은센피에스제일차,충청남도,천안시,서북구,백석동,특수용도,지식산업센터,0,아이비케이투자증권,증권사,채권매입/인수,매입확약,570,70.5, 아이비케이투자증권㈜의 대출채권 매입 및 사모사채 인수 의
뉴월드명지트레스,부산광역시,명지동,3605-2,,5번지,오피스텔,리테일.오피스텔.오피스,0,NH투자증권,증권사,인수,매입확약,1370,43.7, NH투자증권㈜의 사모사채 인수확약
더블에스동인제일차,인천광역시,서구,왕길동,133-3번지,공동주택,공동주택,0,키움증권,증권사,인수,매입확약,4500,-, 키움증권㈜의 사모사채 인수확약 더
드림구삼송림제일차,경상북도,구미시,고아읍,괴평리,상업업무,도시개발,0,교보증권,증권사,채권매입/인수/자금보충,매입확약,-,-, 교보증권㈜의 대출채권 매입확약 자금보충 및 사모사채 인수확약 드
디에스창신제일차,서울특별시,종로구,창신동,401-31번지,공동주택,주상복합.오피스텔.오피스,0,대신증권,증권사,채권매입/인수,매입확약,117,-,대신증권㈜의 대출채권 매입 및 사모사채 인수 확약
모니모풍동제이차,경기도,고양시,일산동구,풍동2지구,오피스텔,리테일.오피스텔.오피스,0,삼성증권,증권사,채권매입/인수/자금보충,매입확약,4000,-, 삼성증권㈜의 대출채권 매입 자금보충 및 사모사채 인수 의
모니모풍동제이차,경기도,고양시,일산동구,풍동2지구,오피스텔,리테일.오피스텔.오피스,0,삼성증권,증권사,채권매입/인수/자금보충,매입확약,4000,-, 삼성증권㈜의 대출채권 매입 자금보충 및 사모사채 인수 의
모니모풍동제이차,경기도,고양시,일산동구,풍동2지구,오피스텔,리테일.오피스텔.오피스,0,삼성증권,증권사,채권매입/인수/자금보충,매입확약,4000,-, 삼성증권㈜의 대출채권 매입 자금보충 및 사모사채 인수 의
모니모풍동제이차,경기도,고양시,일산동구,풍동2지구,오피스텔,리테일.오피스텔.오피스,0,삼성증권,증권사,채권매입/인수/자금보충,매입확약,4000,-, 삼성증권㈜의 대출채권 매입 자금보충 및 사모사채 인수 의
모니모풍동제이차,경기도,고양시,일산동구,풍동2지구,오피스텔,리테일.오피스텔.오피스,0,삼성증권,증권사,채권매입/인수/자금보충,매입확약,4000,-, 삼성증권㈜의 대출채권 매입 자금보충 및 사모사채 인수 의
모니모풍동제일차,경기도,고양시,일산동구,풍동2지구,오피스텔,리테일.오피스텔.오피스,0,삼성증권,증권사,채권매입/인수/자금보충,매입확약,4000,-, 삼성증권㈜의 대출채권 매입 자금보충 및 사모사채 인수 의
밝은다올제이차,경기도,평택시,장당동,71-13번지,오피스텔,오피스텔.오피스,0,다올투자증권,증권사,채권매입/인수,매입확약,7475,-,  다올투자증권(주)의 대출채권 매입확약 및 사모사채 인수확약  
밝은다올제이차,경기도,평택시,장당동,71-13번지,오피스텔,오피스텔.오피스,0,다올투자증권,증권사,채권매입/인수,매입확약,7475,-,  다올투자증권(주)의 대출채권 매입확약 및 사모사채 인수확약  
스타드블루제칠차,경기도,평택시,장당동,71-13번지,오피스텔,오피스텔.오피스,0,하나증권,증권사,매입,매입확약,7475,-,  하나증권(주)의 사모사채 매입확약  
스테이밸란디,강원특별자치도,강릉시,홍제동,산,공동주택,공동주택,0,롯데건설,시공사,연대보증,매입확약,-,-, 롯데건설㈜의 연대보증 의무 스
안심파트너스,경기도,시흥시,광석동,업무시설용지,상업업무,오피스,0,아이비케이투자증권,증권사,채권매입/인수,매입확약,1350,34.85, 아이비케이투자증권(주)의 대출채권 매입 및 사모사채 인수 의무
에이블범어원,대구광역시,수성구,범어동,1,공동주택,오피스.오피스텔.리테일.공동주택,0,케이비증권,증권사,인수,매입확약,9000,-, 케이비증권(주)의 사모사채 인수확약 
에이치드림제이차,경기도,수원시,영통구,원천동,특수용도,리테일.지식산업센터,0,현대차증권,증권사,인수,매입확약,187,-, 현대차증권㈜의 사모사채 인수확약 에
엠에스울산제이차,울산광역시,남구,신정동,638-1번지,공동주택,리테일.공동주택,0,미래에셋증권,증권사,채권매입/인수/자금보충,매입확약,2000,-, 미래에셋증권(주)의 대출채권 매입 사모사채 인수 및 자금보충 의무
엠에스울산제일차,울산광역시,남구,신정동,638-1번지,공동주택,주상복합.리테일.공동주택,0,미래에셋증권,증권사,채권매입/인수/자금보충,매입확약,2000,-, 미래에셋증권㈜의 대출채권 매입확약 사모사채 인수확약 및 자금보충 의무 엠
엠에이운양제이차,경기도,김포시,운양동,1251-1번지,상업업무,오피스,본 PF,미래에셋증권,증권사,인수,매입확약,550,-, 미래에셋증권㈜의 사모사채 인수확약 엠
와이제이엘에프서초,서울특별시,서초구,서초동,1596-9번지에,오피스텔,오피스텔.오피스,0,BNK투자증권,증권사,인수,매입확약,620,93.3, (주)BNK투자증권의 사모사채 인수확약
제이더블유디제일차,서울특별시,성북구,장위동,63-112번지,공동주택,리테일.임대주택,0,교보증권,증권사,채권매입/인수/자금보충,매입확약,1300,-, 교보증권(주)의 대출채권 매입 자금보충 및 사모사채 인수 의
제이에스썸머제일차,서울특별시,광진구,화양동,116-1,오피스텔,리테일.오피스텔.오피스,0,-,-,인수,매입확약,950,-, 현대차증권㈜ 사모사채 인수확약 제
트루전주제일차,전라북도,전주시,덕진구,우아동3가,특수용도,리테일.생활형숙박시설,0,한국투자증권,증권사,채권매입/인수/자금보충,매입확약,371,-, 한국투자증권㈜의 대출채권 매입 자금보충 사모사채 인수확약 트
트루항동제일차,인천광역시,중구,항동7가,108번지,오피스텔,지식산업센터.오피스텔.오피스,본 PF,한국투자증권,증권사,채권매입,매입확약,1190,-, 한국투자증권㈜의 대출채권 매입확약 등 트
학산피에프제일차,경상북도,포항시,북구,학산동,상업업무,도시개발,0,한국투자증권,증권사,채권매입/자금보충,매입확약,1350,-, 한국투자증권㈜의 대출채권 매입확약 및 자금보충 의무 학
기은센동대문제삼차,서울특별시,동대문구,용두동,33-1번지,공동주택,리테일.공동주택.오피스텔.오피스,0,롯데건설,시공사,채무인수/자금보충,매입확약,2805,-, 자금보충 및 조건부 채무인수 의무를 부담하는 롯데건설㈜의 신용도 기
기은센향남제일차,경기도,화성시,향남읍,상신리,공동주택,리테일.공동주택,0,롯데건설,시공사,채무인수/자금보충,매입확약,-,-, 롯데건설㈜의 자금보충 및 채무인수의무 기
기은센향남제일차,경기도,화성시,향남읍,상신리,공동주택,리테일.공동주택,0,롯데건설,시공사,채무인수/자금보충,매입확약,-,-, 롯데건설㈜의 자금보충 및 채무인수의무 기
더샵광양마동,전라남도,광양시,마동,348-4번지,공동주택,리테일.공동주택,0,NH투자증권,증권사,인수,매입확약,-,-, NH투자증권(주)의 사모사채 인수의무 
디벨롭개포,서울특별시,강남구,개포동,176-2,공동주택,도시형생활주택,0,신영증권,증권사,인수,매입확약,950,-, 신영증권(주)의 사모사채 인수확
디지엠씨제일차,대구광역시,수성구,만촌동,883-38번지,공동주택,공동주택,본 PF,교보증권,증권사,채권매입/인수/자금보충,매입확약,2960,-,  교보증권(주)의 대출채권 매입확약 자금보충 약정 또는 사모사채 인수확약  
라이코스제일차,경기도,부천시,소사본동,70-7번지,공동주택,주상복합.오피스.오피스텔.리테일.공동주택,0,교보증권,증권사,채권매입/인수/자금보충,매입확약,900,88.9,  교보증권(주)의 대출채권 매입확약 자금보충 및 사모사채 인수의무  
마이에스해운대,부산광역시,해운대구,중동,256-6번지,공동주택,리테일.공동주택,0,삼성증권,증권사,채권매입/인수/자금보충,매입확약,2200,-, 삼성증권㈜의 대출채권 매입확약 자금보충 사모사채 인수확약 마
메디골드제일차,대구광역시,수성구,두산동,1-1,상업업무,리테일,0,SK증권,증권사,인수,매입확약,320,-,  SK증권(주)의 사모사채 인수확약  
브라이트스타제사차,경상북도,포항시,북구,용흥동,공동주택,리테일.공동주택,0,교보증권,증권사,채권매입/인수/자금보충,매입확약,-,-, 교보증권(주)의 대출채권 매입 자금보충 또는 사모사채 인수확약
비욘드울산무거제일차,울산광역시,남구,무거동,856-5번지,오피스텔,오피스텔.오피스,본 PF,한국투자증권,증권사,채권매입/인수/자금보충,매입확약,-,-, 한국투자증권(주)의 자금보충 사모사채 인수 및 대출채권 매입 의무
비케이낙산,강원도,양양군,강현면,주청리,특수용도,리테일.생활형숙박시설,0,아이비케이투자증권,증권사,채권매입/인수,매입확약,850,-,  아이비케이투자증권(주)의 대출채권 매입 및 사모사채 인수의무  
빅토리청당제일차,충청남도,천안시,동남구,청당동,공동주택,리테일.아파트.공동주택,0,비엔케이투자증권,증권사,인수,매입확약,380,-,  (주)비엔케이투자증권의 사모사채 인수확약  
샤이닝스톤테크노,충청북도,청주시,송절동,510번지,공동주택,공동주택,0,주택도시보증공사.NH투자증권,공공.증권사,-.매입,매입확약,-,-, 주택도시보증공사의 PF 대출보증 . NH투자증권(주)의 유동화증권 매입보
세타스토리제일차,경상남도,거제시,장평동,530-2번지,공동주택,리테일.아파트.공동주택,0,한화투자증권,증권사,채권매입/자금보충,매입확약,-,-,  한화투자증권(주)의 대출채권 매입확약 및 자금보충 의무  
알피과천제이차,0,0,0,0,공동주택,아파트.오피스.오피스텔.리테일,0,삼성증권,증권사,채권매입/인수/자금보충,매입확약,1850,-, 삼성증권(주)의 대출채권 매입 사모사채 인수 및 자금보충 의무
알피과천제이차,0,0,0,0,공동주택,아파트.오피스.오피스텔.리테일,0,삼성증권,증권사,채권매입/인수/자금보충,매입확약,1850,-, 삼성증권(주)의 대출채권 매입 사모사채 인수 및 자금보충 의무
알피과천제이차,0,0,0,0,공동주택,아파트.오피스.오피스텔.리테일,0,삼성증권,증권사,채권매입/인수/자금보충,매입확약,1850,-, 삼성증권(주)의 대출채권 매입 사모사채 인수 및 자금보충 의무
알피과천제이차,0,0,0,0,공동주택,아파트.오피스.오피스텔.리테일,0,삼성증권,증권사,채권매입/인수/자금보충,매입확약,1850,-, 삼성증권(주)의 대출채권 매입 사모사채 인수 및 자금보충 의무
알피과천제이차,0,0,0,0,공동주택,아파트.오피스.오피스텔.리테일,0,삼성증권,증권사,채권매입/인수/자금보충,매입확약,1850,-, 삼성증권(주)의 대출채권 매입 사모사채 인수 및 자금보충 의무
엠에스아이디제십이차,경상남도,김해시,대동면,월촌리,산업시설,물류,0,유진투자증권,증권사,채권매입/인수/자금보충,매입확약,-,-,  유진투자증권(주)의 대출채권 매입확약 자금보충 및 사모사채 인수확약  
엠제이엘제일차,경기도,용인시,수지구,상현동,특수용도,지식산업센터,0,키움증권,증권사,채권매입/자금보충,매입확약,-,-, 대출채권 매입 또는 자금보충 의무를 부담하는 키움증권㈜의 신용도 엠
엠제이엘제일차,경기도,용인시,수지구,상현동,특수용도,지식산업센터,0,키움증권,증권사,채권매입/자금보충,매입확약,-,-, 대출채권 매입 또는 자금보충 의무를 부담하는 키움증권㈜의 신용도 엠
오스피셔스제십칠차,경기도,안성시,양성면,미산리,산업시설,물류,0,하이투자증권,증권사,채권매입/인수/자금보충,매입확약,70,-, 하이투자증권㈜의 대출채권 매입확약 자금보충 및 사모사채인수의무 오
와이비해운대,부산광역시,해운대구,중동,1394-335,오피스텔,오피스텔.오피스,0,에스케이증권,증권사,채권매입/인수/자금보충,매입확약,1400,-, 에스케이증권㈜의 대출채권 매입확약 사모사채 인수 및 자금보충의무 와
유에스엠지,충청남도,아산시,탕정면,용두리,특수용도,리테일.지식산업센터,0,SK증권,증권사,채권매입/인수/자금보충,매입확약,870,-,  SK증권(주)의 대출채권 매입 사모사채 인수확약 및 자금보충 의무 S
유에스엠지,충청남도,아산시,탕정면,용두리,특수용도,리테일.지식산업센터,0,SK증권,증권사,채권매입/인수/자금보충,매입확약,870,-,  SK증권(주)의 대출채권 매입 사모사채 인수확약 및 자금보충 의무 S
캐슈넛레드,경기도,여주시,홍문동,332-2번지,공동주택,리테일.도시개발.공동주택,0,DB금융투자,기타,인수,매입확약,-,-, DB금융투자㈜의 사모사채 인수확약 캐
케이동천제일차,경기도,용인시,수지구,동천동,공동주택,리테일.공동주택,0,다올투자증권,증권사,인수,매입확약,315,4.69, 다올투자증권㈜의 사모사채 인수확약
케이비황금제일차,대구광역시,수성구,황금동,851-13번지,공동주택,주상복합.오피스.오피스텔.리테일.공동주택,0,케이비증권,증권사,인수,매입확약,3650,-,  케이비증권(주)의 사모사채 인수확약  케
키스모강릉제일차,강원도,강릉시,연곡면,동덕리,상업업무,오피스.리테일,0,한국투자증권,증권사,인수/자금보충,매입확약,125,-, 한국투자증권(주)의 사모사채 인수확약 또는 자금보충 의무 
파이브제일차,경기도,의왕시,어내들2길,12,Default,Default,0,에스케이증권,증권사,인수,매입확약,-,-, 에스케이증권㈜의 사모사채 인수확약 파
폴리제일차,서울특별시,중구,다동,140,상업업무,오피스,0,대신증권,증권사,채권매입/인수,매입확약,-,-, 대신증권㈜의 대출채권 매입 및 사모사채 인수 의무 폴
한투대체제오차,경기도,평택시,세교동,442-1번지,특수용도,지식산업센터.오피스,0,한국투자증권,증권사,인수,매입확약,110,-,  한국투자증권(주)의 사모사채 인수확약  
골드스타대명제일차,대구광역시,남구,대명동,2301-2번지,공동주택,리테일.아파트.공동주택,0,주택도시보증공사.NH투자증권,공공.증권사,-.매입,매입확약,1100,-, 대명3동뉴타운주택재개발정비사업조합의 대출채무(대출원금)에 대한 주택도시보증공사의 PF 대출보증 . NH투자증권㈜의 유동화증권 매입보장
뉴스타웨이브제일차,경기도,시흥시,정왕동,2716번지,공동주택,주상복합.오피스.오피스텔.리테일.공동주택,0,케이비증권,증권사,인수,매입확약,4000,-,  케이비증권(주)의 사모사채 인수확약  
더블리치제일차,경기도,안성시,보개면,동평리,상업업무,오피스.리테일,0,교보증권,증권사,채권매입/인수/자금보충,매입확약,1730,-, 교보증권㈜의 대출채권 매입 자금보충 및 사모사채 인수 의무
드림구삼논현제이차,서울특별시,강남구,논현동,92-2번지,공동주택,주상복합.오피스.오피스텔.리테일,0,교보증권,증권사,채권매입/인수/자금보충,매입확약,1050,-, 교보증권㈜의 대출채권 매입 자금보충 사모사채 인수 확약 드
랩스제일차,서울특별시,강남구,청담동,53-5번지,공동주택,공동주택.오피스텔.오피스,0,-,-,채권매입/인수/자금보충,매입확약,1700,-, 삼성증권㈜ 대출채권 매입확약 자금보충 및 사모사채 인수확약 랩
로이케이세종,0,0,0,0,산업시설,물류,0,BNK투자증권,증권사,인수,매입확약,530,-,(주)BNK투자증권의 사모사채 인수확약
블랙홀제오차,서울특별시,강동구,길동,456번지,오피스텔,리테일.오피스텔.오피스,0,DB금융투자,기타,인수,매입확약,505,-,  DB금융투자(주)의 사모사채 인수확약  
블러썸제일차,경기도,김포시,사우동,331-2,공동주택,도시개발.공동주택,0,-,-,채무인수/자금보충,매입확약,-,-, 롯데건설㈜가 부담하는 자금보충 및 조건부 채무인수의무 등 블
비욘드이목제이차,경기도,수원시,장안구,이목동,상업업무,오피스.리테일,0,한국투자증권,증권사,인수,매입확약,-,-, 한국투자증권㈜의 사모사채 인수확약 
스위트에이치한남제일차,서울특별시,용산구,한남동,686번지,공동주택,리테일.아파트.공동주택,본 PF,현대건설.케이비증권,시공사.증권사,연대보증.매입,매입확약,-,-, 현대건설㈜의 연대보증 . 케이비증권㈜의 유동화증권 매입보장               
엑싯제팔차,충청북도,청주시,서원구,사직동,공동주택,공동주택.오피스텔.오피스,0,엔에이치투자증권,증권사,인수,매입확약,1040,-, 엔에이치투자증권㈜의 사모사채 인수확약 엑
와이비검단,인천광역시,서구,검단신도시,특별계획구역(C9-1,2,공동주택,공동주택.오피스텔.오피스,0,에스케이증권,증권사,매입/자금보충,매입확약,4000,-, 에스케이증권㈜의 사모사채 매입 자금보충 의무 와
와이에스디제이차,충청남도,천안시,영성동,75-1번지,공동주택,주상복합,0,대신증권,증권사,채권매입/인수,매입확약,104,-, 대신증권㈜의 대출채권 매입확약 및 사모사채 인수의무
와이에이치영성,충청남도,천안시,영성동,75-1번지,공동주택,주상복합,0,대신증권,증권사,채권매입/인수,매입확약,32,-, 대신증권㈜의 대출채권 매입확약 및 사모사채 인수의무
와이케이왕지제일차,전라남도,순천시,왕지동,513번지,공동주택,리테일.도시개발.공동주택,0,유안타증권,증권사,인수,매입확약,2250,96.41, 유안타증권㈜의 사모사채 인수확약
지아이비성산,서울특별시,마포구,성산동,593-6번지,오피스텔,리테일.오피스텔.오피스,0,신한은행.신한은행,은행.은행,매입.-,매입확약,358,-,  (주)신한은행의 신용공여성 유동화증권 매입보장 .  (주)신한은행의 유동성공
하이스톰메이커제십육차,경기도,오산시,외삼미동,228번지,공동주택,도시개발.공동주택.오피스,0,하이투자증권,증권사,채권매입/인수/자금보충,매입확약,1040,-,하이투자증권㈜의 대출채권 매입 자금보충 및 사모사채 인수확
히트하우스제일차,서울특별시,양천구,목동,657-1번지,상업업무,오피스.리테일,0,디비금융투자,기타,인수,매입확약,130,-, 디비금융투자㈜의 사모사채 인수확약 히
강남클라우드,서울특별시,서초구,서초동,1316-3번지,오피스텔,오피스텔.오피스,0,현대차증권,증권사,매입,매입확약,1150,-, 현대차증권(주)의 사모사채 매입확약 
강남클라우드,서울특별시,서초구,서초동,1316-3번지,오피스텔,오피스텔.오피스,0,현대차증권,증권사,매입,매입확약,1150,-, 현대차증권(주)의 사모사채 매입확약 
와이알디제일차,서울특별시,영등포구,여의대로,60,특수용도,리테일.오피스.생활형숙박시설,0,엔에이치투자증권,증권사,인수,매입확약,3700,-, 사모사채 인수 의무를 부담하는 엔에이치투자증권㈜의 신용도 와
케이비마포제이차,서울특별시,마포구,노고산동,107-46번지,공동주택,주상복합.아파트.도시형생활주택.오피스.오피스텔.리테일,0,케이비증권,증권사,인수,매입확약,1400,-,  케이비증권(주)의 사모사채 인수확약  
기은센씨와이제일차,경기도,평택시,브레인시티,공동주택용지,공동주택,공동주택,0,아이비케이투자증권,증권사,채권매입/인수,매입확약,715,-, 아이비케이투자증권(주)의 대출채권 매입 및 사모사채 인수 의무
드래곤필드제일차,서울특별시,성동구,용답동,108-1번지,공동주택,리테일.아파트.공동주택,0,키움증권,증권사,채권매입/인수/자금보충,매입확약,2090,-,  키움증권(주)의 대출채권 매입확약 사모사채 인수확약 자금보충   
디벨롭단구,강원도,원주시,단구동,891-1번지,공동주택,리테일.공동주택,0,신영증권,증권사,채권매입/인수/자금보충,매입확약,820,-,  신영증권(주)의 대출채권 매입 사모사채 인수 및 자금보충 의무  
디오동인,대구광역시,중구,동인동1가,9-10번지,공동주택,주상복합.오피스.오피스텔.리테일.공동주택,0,대신증권,증권사,채권매입/인수,매입확약,1000,-, 대신증권(주)의 사모사채 인수 및 대출채권 매입 의무
리모네스사보,전라남도,목포시,상동,1139-9번지,특수용도,생활형숙박시설,0,한국투자증권,증권사,채권매입/인수/자금보충,매입확약,105,-, 한국투자증권(주)의 대출채권 매입 사모사채 인수 및 자금보충 의무 
베스트디와이제이십차,강원도,속초시,금호동,622-40번지,공동주택,리테일.아파트.공동주택,0,한국투자증권,증권사,채권매입/인수/자금보충,매입확약,1700,-,  한국투자증권(주)의 사모사채 인수확약 대출채권 매입확약 또는 자금보충 약정  
비욘드운교제일차,강원도,춘천시,운교동,173번지,공동주택,공동주택,본 PF,한국투자증권,증권사,인수,매입확약,-,-, 한국투자증권(주)의 사모사채 인수의무
빅웨이브제일차,충청남도,천안시,동남구,영성동,공동주택,주상복합.리테일.공동주택,0,키움증권,증권사,채권매입/자금보충,매입확약,-,-, 키움증권㈜의 대출채권 매입 및 자금보충 의무
실버스타제이차,경기도,오산시,궐동,684-2번지,공동주택,주상복합,0,비엔케이투자증권,증권사,인수,매입확약,660,-,  (주)비엔케이투자증권의 사모사채 인수의무  
아이비케이에스와이신촌,서울특별시,마포구,동교동,157-1번지,공동주택,도시개발.오피스.리테일.공동주택,0,아이비케이투자증권,증권사,채권매입/자금보충,매입확약,2110,-,  아이비케이투자증권(주)의 대출채권 매입확약 또는 자금보충 의무  S
알피용산제일차,서울시,용산구,한강로,3가,상업업무,오피스.리테일,0,삼성증권,증권사,채권매입/인수/자금보충,매입확약,2800,-,  삼성증권(주)의 대출채권 매입확약 사모사채 인수확약 및 자금보충 약정  
알피용산제일차,서울시,용산구,한강로,3가,상업업무,오피스.리테일,0,삼성증권,증권사,채권매입/인수/자금보충,매입확약,2800,-,  삼성증권(주)의 대출채권 매입확약 사모사채 인수확약 및 자금보충 약정  
알피용산제일차,서울시,용산구,한강로,3가,상업업무,오피스.리테일,0,삼성증권,증권사,채권매입/인수/자금보충,매입확약,2800,-,  삼성증권(주)의 대출채권 매입확약 사모사채 인수확약 및 자금보충 약정  
에이블가산제일차,서울특별시,구로구,가산동,326-4번지,공동주택,임대주택,0,케이비증권,증권사,인수/자금보충,매입확약,1100,-, 케이비증권(주)의 자금보충 및 사모사채 인수 의무
